,tmmx,tmmn,pr,srad,vpd,sph,vs
2021-01-01,300.68927,292.1041,0.2593994,109.84296,0.5746217,0.013136896,3.88009
2021-01-02,298.6811,292.7012,0.4143715,72.30889,0.5428307,0.013177023,3.535969
2021-01-03,295.19617,287.63226,16.67118,154.00963,0.4493941,0.010062406,2.7502072
2021-01-04,290.50232,277.72488,0.0,164.20592,0.47742832,0.004827999,2.3295105
2021-01-05,292.20465,277.28174,0.0,157.9963,0.4889577,0.0047589685,2.793556
2021-01-06,290.5783,275.745,0.0,161.70148,0.4473536,0.004690173,1.5871013
2021-01-07,293.86548,278.35626,0.9589195,131.29333,0.40213543,0.005930958,2.2749708
2021-01-08,289.25433,282.2241,5.7606697,62.21037,0.28661776,0.0067689037,3.3171604
2021-01-09,283.47662,279.41574,0.00047683716,128.44518,0.34855622,0.004356387,3.7311368
2021-01-10,285.2332,274.51617,0.0,159.1563,0.29181337,0.003944459,1.1454815
2021-01-11,292.28412,278.3023,3.232479,103.22963,0.30092645,0.006206072,1.3891671
2021-01-12,289.4611,283.92978,0.7224083,68.80814,0.21037626,0.008406983,1.4250892
2021-01-13,284.5144,280.7376,0.07009506,119.62296,0.27714884,0.005536619,1.1943148
2021-01-14,289.6448,274.83377,1.1878014,174.55186,0.3708914,0.004416949,1.8570797
2021-01-15,292.34937,278.28735,5.264759,72.662964,0.27646732,0.0062984643,3.363221
2021-01-16,286.83044,276.04733,0.00047683716,177.52888,0.4488967,0.0043054544,3.8741603
2021-01-17,286.5296,270.41553,0.0,150.34666,0.359729,0.0033071996,1.699419
2021-01-18,289.6106,277.11523,0.0,180.17186,0.5520009,0.0037175063,2.9439068
2021-01-19,292.03683,272.15192,0.0,177.92,0.54787695,0.0032522848,0.5302077
2021-01-20,295.2115,275.91638,0.0,165.65408,0.52359277,0.0046967217,1.7660391
2021-01-21,296.78516,282.67267,0.0,132.21037,0.4875344,0.007468319,2.6392925
2021-01-22,292.28662,288.84918,19.344807,16.452593,0.24456918,0.010366633,2.7532942
2021-01-23,291.2192,284.7066,2.4523735,94.98518,0.30968714,0.008551545,1.8317627
2021-01-24,291.38562,285.11826,0.72431564,32.802223,0.354244,0.0076735117,2.466309
2021-01-25,299.59442,285.48923,0.1707077,111.42518,0.37395453,0.01063527,2.1750188
2021-01-26,298.639,289.20306,0.054359436,83.38074,0.3638959,0.012400566,3.278188
2021-01-27,295.73642,291.62872,10.752678,54.263702,0.20984721,0.013484218,2.7654572
2021-01-28,291.72495,280.69827,0.32043457,192.80519,0.5289905,0.0059080403,3.9095926
2021-01-29,289.09387,273.90137,0.0,191.81111,0.432338,0.0036587785,1.6178604
2021-01-30,291.7118,275.29404,0.0,173.95853,0.3565296,0.00499599,2.3757944
2021-01-31,296.6179,283.2027,1.897335,118.41185,0.49473822,0.007918728,3.8842952
2021-02-01,292.77118,279.49634,3.7555695,89.94148,0.33218336,0.0072648665,4.352668
2021-02-02,284.56012,276.15936,0.0,200.45555,0.463044,0.0031571067,5.505214
2021-02-03,286.4671,273.38522,0.0,204.97333,0.497916,0.0027316313,3.3712974
2021-02-04,291.41504,271.0574,0.0,193.12074,0.49509597,0.003156065,1.2023073
2021-02-05,290.8305,282.87103,6.669998,72.17481,0.5643248,0.006015266,3.4762535
2021-02-06,289.8523,280.84546,17.415524,40.285923,0.1505934,0.00692506,2.7020504
2021-02-07,288.82275,284.50995,19.962788,131.44963,0.2206738,0.008348036,1.8199998
2021-02-08,292.99017,279.59424,0.08440018,123.85407,0.31941843,0.0066260933,2.3192449
