day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2013-01-01,304.79022,293.3744,298.89908,290.64706,97808.03,0.0,278.92776,-1.5318456,0.101525344
2013-01-02,310.32428,295.444,302.43527,287.71643,97560.375,0.0,362.26114,-1.8989264,-0.36955118
2013-01-03,311.13733,296.6043,303.22003,287.37207,97654.29,0.051062554,348.317,-3.2059088,-1.9481859
2013-01-04,308.58588,295.57184,301.88528,288.37936,97734.26,0.0029895455,330.1651,-3.0659723,-1.0535363
2013-01-05,308.60547,295.36438,301.90762,287.71335,97891.57,0.0007841736,347.86627,-3.2366364,-0.1435659
2013-01-06,308.29333,295.83716,301.7244,288.06003,97978.445,0.0028535724,349.47137,-4.253222,-0.15777436
2013-01-07,307.6595,293.9048,300.84323,286.54062,97891.74,0.0,340.77283,-3.699173,-0.6641099
2013-01-08,307.24823,294.47867,300.84518,287.8052,97309.086,0.0026635826,332.51578,-0.9468284,-2.2612872
2013-01-09,311.32785,297.03073,304.4909,288.07986,96877.28,0.010440126,351.23877,-0.60989803,-1.983642
2013-01-10,313.55444,296.42114,305.02472,289.166,97222.06,0.18345378,330.88452,-1.6157827,-2.7420743
2013-01-11,311.50366,298.25925,304.94293,291.15213,97619.914,0.12304634,343.3262,-1.6442915,-2.8443215
2013-01-12,311.75842,297.2643,304.4061,291.40085,97636.13,0.060640275,338.03394,-1.5566996,-1.7390245
2013-01-13,312.2326,297.45328,305.02655,289.3315,97431.76,4.4703484e-05,349.2701,-0.87187433,-2.035094
2013-01-14,313.3081,297.17828,304.26474,291.6868,97413.09,0.89630854,326.86398,-1.9402357,-1.218656
2013-01-15,304.79968,296.2451,299.5185,292.7296,97717.69,7.8634806,182.40424,-3.9986324,-1.6389157
2013-01-16,306.68878,294.7863,300.77896,290.53586,97729.68,0.5639177,254.72939,-2.2690275,-1.3365597
2013-01-17,310.03076,295.61447,302.7596,287.9317,97538.73,0.002529472,353.2247,-1.7256271,-1.3012699
2013-01-18,310.80017,296.08215,303.4036,289.58102,97381.5,0.0,342.5171,-1.7884074,-1.7565694
2013-01-19,311.6844,297.50357,304.38785,289.8945,97281.65,0.0,334.55185,-2.4072204,-1.4341232
2013-01-20,310.32037,297.49408,303.72397,290.0701,97385.664,0.2214238,341.0328,-3.6742084,-1.0238438
2013-01-21,309.96747,295.93353,303.05096,288.80792,97321.27,0.0030975789,339.52386,-3.8904822,-0.36007035
2013-01-22,309.8199,297.5192,303.17566,289.86783,97307.66,0.05494058,333.55893,-4.2334166,-0.14820956
2013-01-23,308.84494,296.91357,302.07144,291.82736,97201.914,0.94900095,189.74373,-5.773044,0.8776738
2013-01-24,297.03992,294.68527,295.77884,294.5354,96768.44,94.08856,36.046658,-5.9299583,5.1650662
2013-01-25,298.89957,295.43002,296.36588,295.34283,96264.85,24.24896,37.163,-3.4358647,6.4741836
2013-01-26,300.56076,296.528,298.27945,294.38522,96236.54,3.7027354,88.98017,1.1389121,4.2557826
2013-01-27,305.38046,293.8125,299.6887,292.27197,96584.445,0.22493117,229.1031,2.6974285,3.0935886
2013-01-28,309.2533,294.0224,301.9478,291.14795,96827.625,0.0,351.00412,0.87212676,1.4760213
2013-01-29,310.42392,297.50787,303.7064,291.11145,97213.805,0.0,319.1363,-1.6750156,0.23950179
2013-01-30,310.48615,296.9387,303.20718,290.58096,97523.21,0.019995496,330.1412,-2.4188297,0.073557876
2013-01-31,307.82324,295.64023,300.6793,294.36725,97515.54,1.2082736,295.7062,-1.2308496,-1.8130263
2013-02-01,305.8615,292.8737,299.73862,290.12766,97277.38,0.79391897,262.56876,0.8097976,-0.25747034
