day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2007-01-01,245.47798,241.80635,244.31995,241.45702,97824.0,0.17096661,0.0,2.2173274,3.1226692
2007-01-02,244.72867,238.52008,242.0312,239.1697,97510.73,0.44906884,6.9444446e-05,1.1249641,2.3308864
2007-01-03,239.60829,237.85077,238.75636,235.89003,98161.35,0.09742379,0.0,1.6134285,2.9415731
2007-01-04,241.4916,238.61206,239.40605,236.7162,98678.96,0.091349706,6.9444446e-05,1.3585759,3.4562562
2007-01-05,241.07799,234.86307,237.70113,234.56459,98804.03,0.06446242,0.0,-2.309652,0.043939035
2007-01-06,240.26819,236.89172,238.23248,235.08562,99268.34,0.048065558,0.0,-0.6906657,0.77658707
2007-01-07,237.71503,236.04204,236.5893,234.18822,100002.97,0.067202374,0.0,1.6042358,2.6832285
2007-01-08,243.71243,236.68826,239.53778,236.92902,100636.15,0.08617155,0.0,2.2953951,3.9607887
2007-01-09,244.63615,242.41351,243.1449,239.83232,100436.945,0.27574039,0.0,4.4149146,5.136561
2007-01-10,248.24612,244.83324,246.58653,243.62868,99872.48,1.0672305,0.0,5.7139,6.208248
2007-01-11,247.42917,241.98683,244.51762,241.20103,99205.63,0.47082826,0.0,-2.3453066,2.282699
2007-01-12,243.87634,241.19385,242.44856,239.9272,100708.71,0.0854861,6.9444446e-05,-2.7807496,-3.0798695
2007-01-13,247.07904,242.19612,245.0955,242.73955,100777.086,0.5122628,0.0,1.9013457,-3.3091466
2007-01-14,249.8271,246.72348,248.17863,245.88861,100500.06,0.41235054,0.0,-0.58051604,-3.6667807
2007-01-15,247.52068,244.4226,245.52356,242.71944,100492.875,0.06907992,-6.9444446e-05,-2.0954473,-1.4789273
2007-01-16,247.84143,245.01042,246.00816,243.15918,100263.805,0.21023862,-6.9444446e-05,-1.4420551,-1.5151048
2007-01-17,245.46179,241.38309,243.2456,240.28392,100029.0,0.12343377,0.0,-0.009101152,-1.6694288
2007-01-18,244.25053,241.24623,242.31757,239.38458,99649.09,0.2925899,0.0,1.0689428,-1.337119
2007-01-19,242.60397,239.10371,240.12274,237.34227,99540.01,0.112678856,0.0,1.2663039,0.4428145
2007-01-20,242.32909,237.25809,239.30864,236.43608,99892.5,0.06547198,6.9444446e-05,-1.6349627,0.6917091
2007-01-21,241.76378,236.43149,238.7708,235.75826,99902.77,0.029873103,0.0,-1.6342415,3.5724955
2007-01-22,245.37186,238.57759,241.21275,237.96315,99032.21,0.01932308,0.0,-1.387345,1.8331903
2007-01-23,246.91989,241.32372,245.32306,242.03725,98709.53,0.11091307,0.0,-1.4315084,-1.4179306
2007-01-24,242.79951,239.56921,241.00069,238.19746,99570.21,0.076293945,6.9444446e-05,-1.1967579,-1.5176998
2007-01-25,243.51196,241.71317,242.76521,239.85493,100916.445,0.031184405,0.0,-1.4767213,1.4795579
