pixel_id,n_good_obs,n_test_year_obs,date_min,date_max,usable
g001_shrubs_nd,210,8,2000-06-25,2022-08-29,True
g003_grass_man,248,10,2000-06-25,2022-09-14,True
g006_trees_ne,282,16,2000-05-24,2022-09-22,True
g002_grass_nat,284,14,2000-07-03,2022-09-14,True
g010_shrubs_nd,336,16,2000-06-09,2022-10-08,True
g004_grass_nat,341,16,2000-05-16,2022-09-22,True
g053_trees_be,346,18,2000-02-26,2022-12-27,True
g011_shrubs_ne,359,16,2000-06-09,2022-09-30,True
g005_grass_nat,386,17,2000-05-16,2022-09-22,True
g052_grass_nat,389,8,2000-03-05,2022-08-29,True
g007_shrubs_ne,410,16,2000-06-17,2022-09-30,True
g018_trees_bd,426,15,2000-05-08,2022-09-22,True
g008_grass_nat,443,19,2000-04-22,2022-09-22,True
g017_shrubs_nd,457,17,2000-04-30,2022-09-30,True
g012_trees_ne,469,17,2000-03-13,2022-09-30,True
g009_grass_nat,472,21,2000-04-30,2022-10-08,True
g015_trees_nd,486,19,2000-03-29,2022-09-30,True
g014_trees_ne,496,24,2000-04-14,2022-10-08,True
g013_grass_nat,510,19,2000-04-14,2022-10-08,True
g023_grass_nat,524,20,2000-04-14,2022-11-01,True
g016_grass_nat,528,23,2000-04-14,2022-10-08,True
g020_trees_ne,537,21,2000-04-06,2022-11-01,True
g027_grass_nat,576,27,2000-04-14,2022-11-09,True
g021_trees_bd,603,22,2000-04-06,2022-10-24,True
g069_trees_nd,616,28,2000-02-26,2022-12-27,True
g022_grass_man,651,30,2000-03-21,2022-11-01,True
g019_trees_bd,656,30,2000-02-26,2022-10-24,True
g054_trees_be,660,24,2000-03-05,2022-11-17,True
g031_grass_nat,678,27,2000-03-13,2022-12-19,True
g039_trees_be,698,32,2000-02-26,2022-12-27,True
g028_shrubs_ne,706,36,2000-02-26,2022-11-17,True
g026_grass_nat,710,28,2000-03-05,2022-11-01,True
g029_trees_bd,712,34,2000-02-26,2022-11-25,True
g025_grass_nat,723,35,2000-04-22,2022-11-09,True
g043_grass_man,738,34,2000-02-18,2022-12-27,True
g036_trees_ne,764,28,2000-02-26,2022-11-25,True
g040_trees_be,766,32,2000-02-26,2022-12-27,True
g038_grass_nat,780,29,2000-02-26,2022-12-27,True
g024_trees_ne,782,35,2000-02-26,2022-11-09,True
g056_trees_bd,811,29,2000-02-26,2022-12-27,True
g049_trees_be,912,40,2000-02-26,2022-12-27,True
g062_grass_nat,930,38,2000-02-26,2022-12-27,True
g030_grass_nat,953,43,2000-02-18,2022-12-27,True
g047_trees_bd,958,42,2000-02-18,2022-12-27,True
g050_grass_nat,966,42,2000-02-26,2022-12-27,True
g060_shrubs_be,969,43,2000-02-26,2022-12-27,True
g044_grass_man,974,40,2000-02-18,2022-12-27,True
g048_shrubs_bd,992,43,2000-02-26,2022-12-27,True
g037_trees_be,998,42,2000-02-18,2022-12-27,True
g058_shrubs_be,999,44,2000-02-26,2022-12-27,True
g051_shrubs_bd,1002,44,2000-02-26,2022-12-27,True
g059_grass_man,1011,44,2000-02-26,2022-12-27,True
g035_grass_man,1011,44,2000-02-18,2022-12-27,True
g046_grass_man,1013,43,2000-02-26,2022-12-27,True
g068_grass_nat,1015,44,2000-02-18,2022-12-27,True
g045_grass_nat,1025,44,2000-02-26,2022-12-27,True
g064_shrubs_be,1027,44,2000-02-18,2022-12-27,True
g061_grass_nat,1031,42,2000-02-18,2022-12-27,True
g033_grass_nat,1033,45,2000-02-26,2022-12-27,True
g032_shrubs_bd,1033,45,2000-02-26,2022-12-27,True
g034_grass_man,1033,45,2000-02-18,2022-12-27,True
g055_shrubs_bd,1037,44,2000-02-26,2022-12-27,True
g063_shrubs_bd,1038,44,2000-02-26,2022-12-27,True
g042_grass_nat,1041,44,2000-02-26,2022-12-27,True
g066_grass_nat,1044,44,2000-02-18,2022-12-27,True
g057_grass_man,1044,45,2000-02-26,2022-12-27,True
g065_shrubs_bd,1045,45,2000-02-26,2022-12-27,True
g067_grass_nat,1047,45,2000-02-18,2022-12-27,True
