date,LAI
2000-03-05,0.1
2000-05-24,6.5
2000-06-17,5.5
2000-06-25,6.3
2000-07-03,6.6
2000-07-11,3.6
2000-08-20,6.3
2000-08-28,5.8
2000-09-13,2.3
2000-11-16,3.4
2000-11-24,5.2
2001-01-01,4.1
2001-01-09,6.6
2001-01-17,6.6
2001-02-02,6.2
2001-02-10,5.2
2001-03-06,3.6
2001-04-23,6.5
2001-05-25,6.2
2001-06-02,6.2
2001-06-10,4.9
2001-07-04,5.6
2001-07-12,6.6
2001-07-20,6.5
2001-07-28,6.6
2001-08-05,6.2
2001-08-13,4.8
2001-08-21,4.5
2001-08-29,5.7
2001-09-06,5.3
2001-09-22,4.2
2001-10-08,0.5
2001-12-19,6.5
2002-02-18,5.7
2002-05-01,6.2
2002-06-18,6.6
2002-06-26,6.5
2002-07-04,6.6
2002-07-12,6.6
2002-07-20,4.8
2002-07-28,4.9
2002-08-05,4.4
2002-08-13,6.5
2002-08-21,3.6
2002-09-06,2.7
2002-09-14,2.5
2002-09-22,1.0
2002-10-24,6.2
2002-11-09,6.0
2002-11-17,5.6
2002-12-19,2.9
2003-01-09,3.6
2003-03-06,6.5
2003-03-30,6.6
2003-04-07,6.2
2003-04-23,6.2
2003-05-01,5.4
2003-05-17,5.3
2003-05-25,5.8
2003-06-02,6.6
2003-06-18,6.5
2003-06-26,6.2
2003-07-12,6.4
2003-07-20,6.5
2003-08-05,6.5
2003-08-13,6.5
2003-08-21,6.5
2003-09-06,2.5
2003-09-14,6.2
2004-01-17,6.7
2004-01-25,6.1
2004-02-02,6.0
2004-03-05,4.4
2004-03-13,3.4
2004-03-29,5.8
2004-06-01,6.3
2004-06-09,6.6
2004-06-17,6.2
2004-06-25,5.8
2004-07-27,6.6
2004-08-04,5.3
2004-08-12,6.6
2004-09-21,3.6
2004-09-29,3.3
2004-10-07,6.6
2004-10-15,6.4
2004-11-16,6.6
2004-11-24,0.2
2005-01-01,0.8
2005-01-17,5.6
2005-02-18,3.1
2005-03-14,6.2
2005-05-01,6.6
2005-05-25,6.6
2005-06-18,3.0
2005-06-26,4.9
2005-07-04,6.5
2005-07-12,4.4
2005-07-20,6.6
2005-08-05,6.2
2005-08-13,6.2
2005-09-06,6.6
2005-09-14,3.6
2006-01-25,6.6
2006-02-10,4.8
2006-02-26,5.9
2006-03-06,0.1
2006-05-09,6.1
2006-05-17,4.7
2006-05-25,6.0
2006-06-10,6.6
2006-06-26,6.6
2006-07-04,6.6
2006-07-12,6.5
2006-07-20,4.7
2006-07-28,6.6
2006-08-05,6.5
2006-08-21,5.6
2006-08-29,6.6
2006-09-06,0.1
2006-09-14,6.6
2006-09-22,6.5
2006-09-30,5.5
2006-11-25,6.6
2006-12-27,6.1
