dominant_pft,count,mean,median,std,min,max
SHRUBS-BD,6,0.5840439393161437,0.5714448824399818,0.2900171753307343,0.1879027536876429,0.9164406703673846
TREES-NE,6,0.4843507193032656,0.48078785384582645,0.2981865654815117,0.0138784195843506,0.7925039737037619
GRASS-NAT,24,0.364368820864764,0.49030779627349336,0.4110858350927202,-0.9340190937227226,0.8706974345519903
SHRUBS-ND,3,0.30059199254158997,0.3742577863805331,0.2794460898717152,-0.0083073121869852,0.535825503431222
TREES-BD,6,0.26070729375518437,0.17347831342875308,0.34241205146969844,-0.1541443643846285,0.7033112040886611
GRASS-MAN,9,0.2398973044710182,0.3511944217972704,0.4296721266525351,-0.5929212717915591,0.7244985834756973
SHRUBS-NE,3,0.19926349833727774,0.6014776547379875,0.7859696709963326,-0.7064116411738581,0.7027244814477038
TREES-BE,6,0.037211312784780466,0.03827104449446925,0.26317075145267355,-0.4276947808044902,0.3001984675662466
SHRUBS-BE,3,-0.05497615689909666,0.1428004733873273,0.4205533680852751,-0.5379587818052616,0.2302298377206443
TREES-ND,2,-0.05585893139864295,-0.05585893139864295,0.26917619427020867,-0.246195243701095,0.1344773809038091
