region,count,mean,median
Mediterranean,1,0.9164406977534142,0.9164406977534142
Central/Southern Africa,3,0.6847501803115125,0.7110205060475947
Canada,7,0.5353059705073601,0.6366876203943077
East Asia,8,0.5033873321129929,0.5986221302949908
Eastern Europe,1,0.4730816693290354,0.4730816693290354
Western Europe,4,0.4650925839011101,0.4856756675741024
Southern S. America,2,0.42547547982294875,0.42547547982294875
Siberia / Boreal Eurasia,11,0.34074104715647946,0.3742579398944319
Southeast Asia,2,0.2565577513638804,0.2565577513638804
East Africa / Sahel,5,0.23963046800301074,0.3777607610217415
South Asia,2,0.10258463344840794,0.10258463344840794
Australia,2,0.08601438803760325,0.08601438803760325
Other,16,0.06458304338494902,0.09047957325391845
Amazon / Tropical S. America,4,-0.11863874237014227,0.11461717018584855
