RMSE,MAE,MAPE,R2,Pearson_r,site,method,mode,num_steps,n_trainable,n_total,train_time_sec,peak_mem_mb,learning_rate,rank
0.760722438422594,0.6233779854244657,19.04795799431852,0.5871809435767543,0.8604697670414971,evergreen,bitfit,advanced_bitfit,300,8352,119477664,24.8,2316.9,0.01,
0.060439278715510025,0.045286725792619914,20.418107112426007,0.5021169808836845,0.7436270805200585,low_amplitude,dora,advanced_dora,100,1280976,120758640,16.3,3275.6,1e-05,8.0
0.4615311253278303,0.3004182736078898,16.032059276838794,0.9467370029416811,0.9737653653771677,high_amplitude_deciduous,dora,advanced_dora,800,1280976,120758640,127.1,3275.6,0.0001,8.0
0.4812793596196259,0.4181463188595242,13.658346440351195,0.8347651093739755,0.9333409699513532,evergreen,dora,advanced_dora,400,2487888,121965552,63.4,3292.6,0.0001,16.0
0.06009901517084211,0.045113114681508804,20.309609824083978,0.5077072051466244,0.745868366709936,low_amplitude,vera,advanced_vera,100,98896,119576560,10.7,2771.2,0.001,256.0
0.37752549951841885,0.26583102809058295,15.193165897056382,0.964361764598884,0.9830129820316772,high_amplitude_deciduous,vera,advanced_vera,200,98896,119576560,25.2,2773.3,0.001,256.0
0.5405901549572223,0.47622022098965117,15.211475128314877,0.791530008683923,0.9225584747584011,evergreen,vera,advanced_vera,100,173392,119651056,14.3,3365.0,0.001,1024.0
0.05880546409138642,0.04237424747811423,18.95358268161248,0.5286710321302133,0.752809720744577,low_amplitude,ia3,advanced_ia3,300,73728,119551392,28.8,2823.2,0.0001,
0.43439458193778946,0.28981123235490586,16.1791654311121,0.9528162547931516,0.9765411900583906,high_amplitude_deciduous,ia3,advanced_ia3,1000,73728,119551392,87.0,2821.1,0.01,
0.4960530552714098,0.4311176988813612,14.232989284580476,0.8244650735542943,0.9259882162943663,evergreen,ia3,advanced_ia3,100,73728,119551392,9.0,2816.4,0.01,
0.05995737048747046,0.04569075124131309,20.390900102571436,0.5100249963556913,0.7457271245525259,low_amplitude,ln_tuning,advanced_ln_tuning,200,28416,119506080,15.3,2522.0,0.1,
0.39310097180528697,0.2688356770409478,14.125792201330034,0.9613604690928251,0.9807424486331405,high_amplitude_deciduous,ln_tuning,advanced_ln_tuning,200,28416,119506080,15.2,2523.1,0.01,
0.5179475119215988,0.44078122774759926,14.505449353464856,0.808627827882084,0.9127418856679489,evergreen,ln_tuning,advanced_ln_tuning,100,28416,119506080,7.8,2530.4,0.1,
0.06069979234939458,0.04730526092979643,21.321692277350266,0.4978156439351682,0.7411704874651075,low_amplitude,bitfit,advanced_bitfit,400,8352,119477664,29.1,2328.9,0.01,
0.38422519890128765,0.25885483423868816,14.498748213808533,0.9630856437980889,0.9819385030516619,high_amplitude_deciduous,bitfit,advanced_bitfit,100,8352,119477664,7.5,2328.9,0.0001,
0.058969365649107534,0.04289127273692025,19.080113241919175,0.5260400110061247,0.7496631255153953,low_amplitude,partial_last_block,advanced_partial_last_block,300,13093536,119477664,15.1,1961.6,1e-06,
0.3861903536511261,0.2650048706266615,15.404235990978144,0.962707074484851,0.9821326035554148,high_amplitude_deciduous,partial_last_block,advanced_partial_last_block,200,13093536,119477664,9.8,1961.9,1e-05,
0.5173442078530629,0.4562326166364882,14.658253843164628,0.80907338796751,0.9239836605515377,evergreen,partial_last_block,advanced_partial_last_block,100,13093536,119477664,5.2,1961.9,0.0001,
