site,mode,model,RMSE,MAE,MAPE,R2,Pearson_r
low_amplitude,Chronos-2,zero_shot,0.0579882552431547,0.0396103426814079,17.9428315787576,0.5416799543767805,0.7595571295427851
low_amplitude,Chronos-2,finetuned_lora,0.0675189783359879,0.0530292373564508,20.61434729612636,0.3786440047437329,0.6486294663634805
high_amplitude_deciduous,Chronos-2,zero_shot,0.3721987428443206,0.2459115187327067,14.14267502821269,0.9653603564623752,0.983538003569336
high_amplitude_deciduous,Chronos-2,finetuned_lora,0.4391612497433154,0.286435948477851,16.05384692529586,0.9517750667688172,0.976420449201157
evergreen,Chronos-2,zero_shot,0.4849752207266585,0.4259298351075914,14.023496741340352,0.8322176076224337,0.9301318449824632
evergreen,Chronos-2,finetuned_lora,0.6352008922615217,0.5305042531755235,16.529617370473268,0.7121743574790728,0.8781962726851275
low_amplitude,AELSTM-project,SVM,0.041847,0.036922,14.364719,0.656525,0.854414
low_amplitude,AELSTM-project,RF,0.043781,0.035368,14.192928,0.624034,0.872033
low_amplitude,AELSTM-project,RNN,0.04851,0.03983,16.688769,0.538429,0.902188
low_amplitude,AELSTM-project,BiLSTM,0.048912,0.040493,16.038465,0.530745,0.88995
low_amplitude,AELSTM-project,LSTM,0.048946,0.039482,15.693185,0.530095,0.895242
low_amplitude,AELSTM-project,AELSTM,0.050481,0.040508,16.557877,0.500154,0.882672
low_amplitude,AELSTM-project,CNN,0.052605,0.044042,17.862637,0.457213,0.896606
low_amplitude,AELSTM-project,GRU,0.054707,0.047537,19.699673,0.412968,0.912358
high_amplitude_deciduous,AELSTM-project,GRU,0.273382,0.212307,12.207349,0.980567,0.991283
high_amplitude_deciduous,AELSTM-project,RF,0.283976,0.190613,11.271512,0.979031,0.990079
high_amplitude_deciduous,AELSTM-project,RNN,0.290712,0.208344,11.553153,0.978025,0.990745
high_amplitude_deciduous,AELSTM-project,BiLSTM,0.290996,0.220447,11.968456,0.977982,0.98981
high_amplitude_deciduous,AELSTM-project,SVM,0.309016,0.232301,17.204056,0.975171,0.989121
high_amplitude_deciduous,AELSTM-project,LSTM,0.350533,0.253163,16.077066,0.968051,0.984466
high_amplitude_deciduous,AELSTM-project,CNN,0.359294,0.281489,17.292405,0.966434,0.98364
high_amplitude_deciduous,AELSTM-project,AELSTM,0.389535,0.275547,15.575282,0.960545,0.980269
evergreen,AELSTM-project,SVM,0.382117,0.317192,9.381771,0.885605,0.942684
evergreen,AELSTM-project,RF,0.428875,0.340184,9.956643,0.855896,0.931231
evergreen,AELSTM-project,GRU,0.457045,0.375965,11.341268,0.836344,0.918039
evergreen,AELSTM-project,RNN,0.484258,0.394356,11.667906,0.816275,0.909472
evergreen,AELSTM-project,LSTM,0.55375,0.474772,14.264867,0.759762,0.882291
evergreen,AELSTM-project,BiLSTM,0.554903,0.472817,14.593705,0.758761,0.886549
evergreen,AELSTM-project,AELSTM,0.577273,0.499305,15.446846,0.738918,0.879611
evergreen,AELSTM-project,CNN,0.583628,0.4887,15.385448,0.733138,0.866443
