model,low_amplitude,high_amplitude_deciduous,evergreen,mean_rank,std_rank
zero_shot,1.0,1.0,2.0,1.3333333333333333,0.5773502691896257
RF,3.0,3.0,3.0,3.0,0.0
SVM,2.0,7.0,1.0,3.3333333333333335,3.2145502536643185
RNN,4.0,5.0,5.0,4.666666666666667,0.5773502691896258
GRU,10.0,2.0,4.0,5.333333333333333,4.163331998932266
BiLSTM,6.0,4.0,8.0,6.0,2.0
finetuned_lora,7.0,6.0,6.0,6.333333333333333,0.5773502691896258
LSTM,5.0,8.0,7.0,6.666666666666667,1.5275252316519465
AELSTM,8.0,10.0,9.0,9.0,1.0
CNN,9.0,9.0,10.0,9.333333333333334,0.5773502691896257
