model,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_rank,std_rank
RF,8.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,6.0,4.0,2.0,3.5454545454545454,1.916436086262016
finetuned_lora,10.0,3.0,1.0,1.0,1.0,10.0,2.0,1.0,8.0,1.0,3.0,3.727272727272727,3.717281509138341
zero_shot,9.0,1.0,2.0,4.0,2.0,1.0,1.0,9.0,10.0,6.0,1.0,4.181818181818182,3.6556307750696546
SVM,1.0,4.0,4.0,3.0,4.0,7.0,4.0,4.0,4.0,10.0,4.0,4.454545454545454,2.2962419891481978
RNN,2.0,5.0,8.0,5.0,10.0,8.0,5.0,3.0,2.0,3.0,10.0,5.545454545454546,3.012096823265692
LSTM,3.0,6.0,5.0,8.0,9.0,3.0,8.0,5.0,5.0,9.0,6.0,6.090909090909091,2.165850662190053
BiLSTM,4.0,8.0,6.0,9.0,8.0,6.0,9.0,8.0,3.0,2.0,5.0,6.181818181818182,2.4420557658735733
GRU,6.0,7.0,9.0,6.0,6.0,9.0,7.0,6.0,1.0,5.0,7.0,6.2727272727272725,2.1489955370316194
CNN,5.0,9.0,10.0,7.0,5.0,2.0,6.0,10.0,9.0,8.0,9.0,7.2727272727272725,2.5334130768948473
AELSTM,7.0,10.0,7.0,10.0,7.0,5.0,10.0,7.0,7.0,7.0,8.0,7.7272727272727275,1.618079669911781
