model,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_rank,std_rank
RF,2.0,1.0,6.0,4.0,2.0,4.0,1.0,1.0,8.0,3.0,2.0,3.090909090909091,2.256304299271065
BiLSTM,1.0,3.0,2.0,9.0,8.0,1.0,3.0,3.0,4.0,4.0,1.0,3.5454545454545454,2.6967994498529686
zero_shot,6.0,9.0,3.0,3.0,1.0,3.0,2.0,8.0,2.0,1.0,3.0,3.727272727272727,2.723633936156219
GRU,4.0,4.0,4.0,1.0,7.0,2.0,5.0,2.0,6.0,7.0,5.0,4.2727272727272725,2.0045403009622476
LSTM,7.0,5.0,8.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,9.0,5.909090909090909,1.513574937328539
finetuned_lora,8.0,10.0,7.0,2.0,4.0,9.0,10.0,10.0,1.0,2.0,4.0,6.090909090909091,3.562430222602134
RNN,3.0,2.0,5.0,10.0,9.0,10.0,7.0,4.0,7.0,8.0,6.0,6.454545454545454,2.7336289566668097
SVM,5.0,8.0,1.0,6.0,3.0,8.0,9.0,9.0,9.0,10.0,7.0,6.818181818181818,2.821991559809555
AELSTM,10.0,7.0,10.0,7.0,10.0,7.0,6.0,6.0,3.0,5.0,10.0,7.363636363636363,2.377928816122437
CNN,9.0,6.0,9.0,8.0,5.0,6.0,8.0,7.0,10.0,9.0,8.0,7.7272727272727275,1.5550504230351563
