model,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_rank,std_rank
zero_shot,1.0,2.0,2.0,1.0,5.0,4.0,1.0,6.0,9.0,3.0,1.0,3.1818181818181817,2.600699206681996
RF,5.0,3.0,1.0,9.0,1.0,1.0,5.0,5.0,6.0,1.0,2.0,3.5454545454545454,2.6594599588501557
SVM,2.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,5.0,9.0,8.0,3.909090909090909,2.844452335847639
LSTM,6.0,7.0,6.0,3.0,8.0,7.0,6.0,1.0,2.0,8.0,6.0,5.454545454545454,2.3817487845545915
GRU,7.0,5.0,10.0,7.0,4.0,6.0,8.0,3.0,3.0,4.0,7.0,5.818181818181818,2.227921983292136
AELSTM,9.0,6.0,5.0,4.0,9.0,8.0,10.0,4.0,4.0,2.0,4.0,5.909090909090909,2.6628760937957834
RNN,4.0,10.0,8.0,8.0,7.0,3.0,4.0,8.0,7.0,5.0,3.0,6.090909090909091,2.385562636132007
BiLSTM,8.0,9.0,7.0,6.0,3.0,5.0,9.0,2.0,8.0,6.0,5.0,6.181818181818182,2.3159525823376357
CNN,10.0,4.0,9.0,5.0,10.0,9.0,7.0,10.0,1.0,7.0,10.0,7.454545454545454,3.0120968232656917
finetuned_lora,3.0,8.0,4.0,10.0,6.0,10.0,3.0,9.0,10.0,10.0,9.0,7.454545454545454,2.910794955459294
