site,model,R2_mean,R2_median,R2_std,R2_min,R2_max,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,Pearson_r_mean,Pearson_r_median,Pearson_r_std,Pearson_r_min,Pearson_r_max,ACC_mean,ACC_median,ACC_std,ACC_min,ACC_max
evergreen,AELSTM,-0.2626,0.4849,2.2721,-7.0524,0.7629,0.9279,0.8117,0.2968,0.5876,1.6362,0.7584,0.6559,0.2895,0.4678,1.4627,0.7186,0.7646,0.2114,0.1417,0.885,0.0405,0.1141,0.2811,-0.3247,0.4672
evergreen,BiLSTM,-0.1809,0.5324,2.0908,-6.4251,0.7597,0.9038,0.7866,0.2833,0.5916,1.5712,0.7372,0.6294,0.2728,0.4675,1.3884,0.7232,0.7888,0.214,0.1444,0.8897,0.0164,0.0291,0.273,-0.3585,0.4177
evergreen,LSTM,-0.1276,0.5149,2.0185,-6.1751,0.7533,0.8846,0.7811,0.2625,0.5993,1.5445,0.7243,0.6314,0.2568,0.4506,1.3654,0.7286,0.7965,0.2219,0.0908,0.8931,0.0141,0.09,0.2796,-0.4501,0.314
evergreen,GRU,-0.2403,0.5404,2.2193,-6.8664,0.7678,0.9178,0.7603,0.3018,0.5816,1.6172,0.7519,0.6287,0.2902,0.4573,1.4401,0.7181,0.79,0.2091,0.2187,0.8909,0.0597,0.1011,0.3256,-0.4079,0.6076
evergreen,RNN,-0.1367,0.5314,1.9462,-5.9518,0.729,0.8989,0.8292,0.261,0.6282,1.5203,0.7348,0.6481,0.2515,0.4851,1.3298,0.71,0.7839,0.2208,0.1532,0.8879,0.0429,0.0024,0.2706,-0.4467,0.4342
evergreen,CNN,-0.2294,0.5194,2.1827,-6.7294,0.7814,0.9152,0.7774,0.305,0.5642,1.6031,0.7583,0.6299,0.2868,0.438,1.4085,0.7517,0.8012,0.1794,0.2364,0.9079,-0.015,0.0274,0.304,-0.4003,0.5502
evergreen,RF,-0.1677,0.5222,2.4149,-7.4232,0.8092,0.829,0.7933,0.3141,0.5266,1.6735,0.6766,0.5833,0.2773,0.4118,1.4021,0.7465,0.8199,0.2288,0.1284,0.9076,0.1616,0.2444,0.2619,-0.4287,0.4843
evergreen,SVM,0.0485,0.5649,1.5458,-4.5477,0.7969,0.8326,0.7653,0.2407,0.5438,1.3581,0.6653,0.551,0.2249,0.4253,1.1128,0.7298,0.8082,0.22,0.1925,0.8934,0.2313,0.2268,0.193,-0.2263,0.5297
evergreen,zero_shot,-0.134,0.5826,2.4946,-7.6368,0.9001,0.7825,0.719,0.3362,0.3814,1.6946,0.6034,0.5471,0.2893,0.3173,1.4316,0.7724,0.8273,0.2319,0.1108,0.9656,0.2247,0.3035,0.3566,-0.5589,0.6844
evergreen,finetuned_lora,-0.2605,0.6831,2.7566,-8.5218,0.9247,0.8111,0.6838,0.3885,0.3312,1.7793,0.636,0.4962,0.3376,0.2765,1.4907,0.7457,0.8397,0.2462,0.1488,0.965,0.2415,0.3023,0.3546,-0.6347,0.7566
high_amplitude_deciduous,AELSTM,0.9443,0.9411,0.0213,0.9189,0.9796,0.4438,0.451,0.0933,0.2782,0.5713,0.3144,0.308,0.0724,0.1969,0.4502,0.9742,0.9702,0.0109,0.96,0.9912,0.061,0.0146,0.3325,-0.4886,0.5937
high_amplitude_deciduous,BiLSTM,0.9582,0.9613,0.0207,0.9263,0.9833,0.3795,0.3926,0.0955,0.2512,0.5471,0.2687,0.2742,0.0745,0.1755,0.4208,0.9811,0.9835,0.01,0.964,0.9925,0.2533,0.1598,0.3279,-0.1537,0.8534
high_amplitude_deciduous,LSTM,0.9509,0.949,0.0197,0.9228,0.9811,0.4157,0.4422,0.0881,0.2678,0.5141,0.2999,0.3191,0.0667,0.1917,0.4019,0.9772,0.9743,0.0104,0.9623,0.9918,0.1284,0.1488,0.3464,-0.4401,0.59
high_amplitude_deciduous,GRU,0.9568,0.9606,0.0214,0.9215,0.9797,0.387,0.3584,0.0931,0.2772,0.543,0.2779,0.2463,0.0758,0.1958,0.4273,0.9798,0.9825,0.0101,0.9629,0.9907,0.2004,0.1473,0.3321,-0.2911,0.745
high_amplitude_deciduous,RNN,0.9488,0.9473,0.023,0.9168,0.9792,0.4225,0.448,0.1011,0.2805,0.5558,0.2901,0.3097,0.0766,0.1987,0.4104,0.978,0.9772,0.0098,0.9619,0.9901,0.1618,0.0941,0.3729,-0.3171,0.7836
high_amplitude_deciduous,CNN,0.9398,0.938,0.0272,0.8906,0.9723,0.4583,0.4892,0.0961,0.3314,0.6004,0.3331,0.317,0.0685,0.25,0.445,0.9734,0.9723,0.0108,0.9569,0.9872,0.0902,0.1607,0.2489,-0.3164,0.4419
high_amplitude_deciduous,RF,0.9605,0.9687,0.0224,0.9154,0.9857,0.3663,0.3392,0.099,0.233,0.5406,0.2529,0.2366,0.072,0.1694,0.3745,0.9816,0.9859,0.0112,0.9583,0.9936,0.3041,0.3079,0.4118,-0.4511,0.8094
high_amplitude_deciduous,SVM,0.9431,0.9546,0.0279,0.8864,0.9675,0.4447,0.4246,0.0932,0.3431,0.6119,0.3543,0.3382,0.0779,0.2636,0.5065,0.975,0.9824,0.0142,0.9452,0.9878,0.1434,0.1246,0.2836,-0.4521,0.7265
high_amplitude_deciduous,zero_shot,0.9569,0.9612,0.0228,0.8963,0.9854,0.3859,0.3849,0.0842,0.2352,0.5814,0.2577,0.2606,0.0511,0.164,0.3707,0.9807,0.9811,0.0107,0.9512,0.9927,0.142,0.1179,0.3722,-0.3919,0.7423
high_amplitude_deciduous,finetuned_lora,0.9464,0.9494,0.0243,0.8796,0.971,0.4352,0.4182,0.0796,0.3168,0.6264,0.2899,0.2859,0.0403,0.2212,0.3718,0.9756,0.977,0.0123,0.942,0.9865,0.0307,0.0182,0.2472,-0.3124,0.3976
low_amplitude,AELSTM,0.1447,0.3406,0.6844,-1.8292,0.6573,0.068,0.0668,0.0149,0.0469,0.1029,0.0564,0.0537,0.0145,0.038,0.0903,0.7156,0.6887,0.0972,0.5799,0.8925,0.2286,0.2581,0.2269,-0.2388,0.5059
low_amplitude,BiLSTM,0.1618,0.3091,0.6918,-1.8177,0.6728,0.0665,0.0663,0.0142,0.0503,0.1027,0.0547,0.053,0.0141,0.0384,0.0902,0.7238,0.7197,0.1102,0.5693,0.8971,0.2599,0.2096,0.181,-0.0212,0.5683
low_amplitude,LSTM,0.1642,0.3276,0.6711,-1.78,0.6851,0.067,0.0671,0.0139,0.0513,0.102,0.0552,0.0531,0.0137,0.0409,0.0892,0.7177,0.7197,0.0918,0.5886,0.8996,0.2209,0.2,0.2337,-0.2121,0.5756
low_amplitude,GRU,0.188,0.4215,0.696,-1.8024,0.6596,0.0653,0.0628,0.0141,0.0493,0.1024,0.0535,0.0526,0.0138,0.0372,0.0896,0.7332,0.7442,0.1041,0.5647,0.9032,0.2699,0.2851,0.1823,0.0063,0.5987
low_amplitude,RNN,0.1852,0.3629,0.5882,-1.462,0.6324,0.0667,0.0615,0.0125,0.0495,0.096,0.0543,0.0528,0.0116,0.0383,0.0817,0.7223,0.734,0.0885,0.567,0.8391,0.2305,0.2102,0.2173,-0.1605,0.6347
low_amplitude,CNN,0.0737,0.1907,0.6533,-1.7966,0.5201,0.0729,0.0656,0.0211,0.0504,0.1171,0.0594,0.0535,0.0198,0.0394,0.1015,0.6456,0.6601,0.1104,0.3599,0.7695,0.0696,0.1604,0.2921,-0.5721,0.4308
low_amplitude,RF,0.2509,0.402,0.6226,-1.5095,0.7234,0.063,0.0626,0.0144,0.0432,0.0969,0.0513,0.0517,0.0131,0.0349,0.0827,0.7327,0.7539,0.1075,0.5521,0.8813,0.3005,0.2913,0.1802,-0.0012,0.681
low_amplitude,SVM,0.3074,0.4006,0.3924,-0.7473,0.7057,0.0624,0.0602,0.0086,0.0489,0.0808,0.0507,0.0509,0.007,0.0413,0.0672,0.7288,0.7153,0.0809,0.5639,0.8477,0.3155,0.3281,0.1775,0.0445,0.6182
low_amplitude,zero_shot,0.3168,0.3866,0.3882,-0.7171,0.6455,0.0621,0.0626,0.0093,0.0481,0.0801,0.0501,0.0503,0.0084,0.0397,0.0639,0.7349,0.7343,0.1019,0.5252,0.8795,0.2299,0.2875,0.1677,-0.1166,0.4299
low_amplitude,finetuned_lora,0.0954,0.259,0.4516,-0.817,0.577,0.072,0.0708,0.0142,0.0545,0.0973,0.057,0.0567,0.0135,0.0406,0.0841,0.6372,0.7142,0.1825,0.2592,0.8572,0.1065,0.0876,0.1846,-0.1761,0.3952
