composite_index,n_pixels,R2_mean,R2_median,R2_std,Pearson_r_mean,Pearson_r_median
1,70,-1.0822233966773225,-0.0444555342337799,5.374948198700335,0.476548994114367,0.45833777916082985
2,70,-0.05841307474067761,0.0022797037169057788,0.49882411000604215,0.4276362397649746,0.44926301244035766
3,70,-0.013981473385707401,0.022242796635441986,0.5009064691368985,0.41976747143927284,0.4284088232487902
4,70,-0.08506559623959888,0.005914679249848287,0.48980555378366997,0.36935762936546684,0.43824464489339887
5,70,-0.01588334269436195,0.010245211872649984,0.409647068843621,0.4117708893256725,0.41656810145950607
6,70,-0.0807740472217948,0.026406394413538703,0.4911932174844873,0.39619400112667186,0.45367790933513835
7,70,-0.04226841231433651,0.04002752488162781,0.43037114045640534,0.4168705352280817,0.45264271059344197
8,70,0.013560964702475574,0.1068826596593127,0.43169716804833,0.4220436304052351,0.4552608778109277
9,70,0.004725309450290695,0.12760542711892076,0.47818182344909366,0.4471087397985204,0.47872458683592856
10,70,0.09909695943780089,0.12156946616119729,0.30886168762641725,0.47550743353717106,0.4994888584181913
11,70,0.07976646367199067,0.10440260417678376,0.29417834142436083,0.424163917482694,0.41631577294835104
12,70,0.08893346141472569,0.12405020687049423,0.3148101979968218,0.42275136189557705,0.4588318839777423
13,70,0.038907139993855235,0.13560266024704826,0.4098747667283277,0.4264465380336828,0.48906371877920185
14,70,0.0020971795852898403,0.15606222999992453,0.5000934960236127,0.46236093186085775,0.5314832811419639
15,70,-0.06385392780562142,-0.02158649824358838,0.49622515037998643,0.40602815292889577,0.46961713379836745
16,70,-0.007302673315624399,0.06035025275828643,0.5285267597138029,0.4442283644107743,0.5449559885138935
17,70,-0.1283243532139861,-0.1073825635975787,0.501519575283062,0.341452404851673,0.35265974895750496
18,70,-0.0991580474360913,-0.030592450565815943,0.5576394341203886,0.36521748586519803,0.38220236461307106
19,70,-0.07869975247123175,-0.08946039482695578,0.5708956564460005,0.3438811667823329,0.38105859048371915
20,70,-0.09847262552535861,-0.08474063241482832,0.595077667698131,0.30307441881684816,0.24283480369059218
21,70,-0.09297872629441166,-0.051904748499526865,0.5903527653479355,0.2884466324210113,0.30678536074947926
22,70,-0.19006782626859398,-0.21469201051655695,0.551210788742281,0.2313954868803355,0.15606303270026542
23,70,-0.15875436270127583,-0.09822882552751766,0.6334921004216991,0.24988826156532593,0.254802940140853
24,70,-0.0738132909316729,-0.04985318650307058,0.503314147677828,0.278057593271916,0.2943447893758303
25,70,-0.08925563274824094,-0.09818657117190521,0.49366924379554017,0.2651714539856729,0.27201037330466965
26,70,-0.09729216175922285,-0.10993308836006876,0.4481641091605221,0.23884375377711328,0.25750569797066947
27,70,-0.08365861430166675,-0.07425533208412971,0.4195685531012707,0.30163906032371524,0.2982877314328957
28,70,-0.09877827831689398,-0.057344832859176464,0.5128977961609412,0.3093293160712489,0.27286212114883446
29,70,-0.10880565246642329,-0.015128093666859854,0.5452669927744279,0.3003322853083386,0.34712571963001276
30,70,-0.13730706800662115,-0.10394328333398573,0.5426327860807459,0.27730585750658043,0.2526703903454448
31,70,-0.28725004924862524,-0.2099985302934646,0.6614105757395926,0.24348556201256183,0.24600282145119068
32,70,-0.2493344087344864,-0.14864855638492658,0.6178351421258006,0.2571194098493882,0.28103202926831794
33,70,-0.3860077238260984,-0.1569687924995834,1.048278254481816,0.1828040137519431,0.23816314327930713
34,70,-0.3837782857758099,-0.2137280566764942,0.7213797363466385,0.23513465929694582,0.2800620323098669
35,70,-0.2904803227134651,-0.2697479758300958,0.5042888720171768,0.22314664727723393,0.27392469221990917
36,70,-0.4068388302705384,-0.28824477098744405,0.5842504781595234,0.2212114303222736,0.284135833464244
37,70,-0.7091703116429446,-0.4990292937520139,0.7576897923427645,0.16608916287866102,0.1746237843194906
38,70,-0.5508109268762507,-0.37682018732323586,0.6444278535037564,0.19367017132765132,0.2114849897159129
39,70,-0.8293317561214095,-0.668230832688945,0.8533141463356195,0.07905799152248552,0.09535021078867817
40,70,-0.6828946039783944,-0.446168859190764,1.186300916662087,0.12299376821660693,0.12064972256981824
41,70,-0.5844563703364678,-0.3395156477854647,1.004603248533459,0.10584136768920017,0.10743057492472217
42,70,-0.5923752581946787,-0.31482919010438126,1.1345983670968787,0.1137872467717472,0.1406426333654249
43,70,-0.3762810874747574,-0.3452765396790557,0.547628822899319,0.11708215283637838,0.08612794404842153
44,70,-0.4598981845466208,-0.30256441396062006,0.5548665042718103,0.02270524615470987,0.023413436449938728
45,70,-0.4412250638316621,-0.3163871031110629,0.5407086214039132,0.02166624879850834,0.003130985250712608
46,70,-5.945661983489226,-0.786204130530303,34.15506170861683,-0.005168727579932412,0.015778276034389648
