site,inter_annual_mean_R2,median,inter_annual_variance
px060_grass_nat,0.9780275506437088,0.9793071780343052,8.768643672507428e-05
px033_trees_ne,0.9749658842259612,0.974689107710324,5.8741613266441365e-05
px042_grass_nat,0.9649152332899849,0.9697564145607056,0.0003268975126379
px031_trees_bd,0.96268848633651,0.969453791083357,0.0012181572966383
px043_grass_nat,0.9583766860798876,0.9670453139618708,0.001078552424286
high_amplitude_deciduous,0.95692650831877,0.9611617148661448,0.0005180121811383
px052_shrubs_bd,0.9534856051589784,0.9581255481651588,0.0005962279918614
px058_grass_nat,0.9468953967622724,0.950442500139398,0.0014352269314978
px014_grass_man,0.9457324140576612,0.9510901263711368,0.0005222191790754
px036_grass_man,0.943520862065957,0.9620424131333172,0.0009069953655165
