composite_index,n_pooled,R2
1,375,0.8235875632384755
2,388,0.7583751321959789
3,398,0.7438404956219478
4,401,0.7490446702402573
5,421,0.820522084462415
6,424,0.7655930808740995
7,387,0.8475948284524402
8,425,0.7888691044962401
9,440,0.7348012859742457
10,456,0.8132240368442334
11,464,0.7928153272070586
12,490,0.7572200618481644
13,513,0.7267980168776653
14,537,0.7570946864434652
15,545,0.7883281270670977
16,563,0.6942759495444163
17,609,0.7930310094981874
18,622,0.739768858316378
19,626,0.7089581719068867
20,631,0.7565219632725757
21,637,0.7387044964089636
22,612,0.7412985955226525
23,638,0.6831753323367633
24,625,0.7334340679904552
25,634,0.6276319223830376
26,616,0.6017982051985169
27,624,0.6497435106006335
28,617,0.6373098964431245
29,638,0.5681575329898376
30,647,0.5598321092086722
31,653,0.6456644187563818
32,646,0.748681770475768
33,649,0.7303231934776081
34,652,0.681023096931456
35,609,0.7597190095823126
36,558,0.7115728840674042
37,495,0.7799097492071319
38,493,0.7144789330568153
39,474,0.8109735196558499
40,431,0.8721802814643723
41,402,0.7888950927414347
42,395,0.7614296442036497
43,381,0.8005290925737322
44,381,0.7622537097107568
45,380,0.7682533668368978
46,380,0.620990104302207
