composite_index,site,n_years,R2,Pearson_r
1,g030_grass_nat,10,0.1306318959200774,0.40999347124572183
1,g032_shrubs_bd,11,0.0694523532561343,0.48877826879679553
1,g033_grass_nat,11,0.2743651101498733,0.533926614861501
1,g034_grass_man,11,-0.044017880926678465,0.11880861111842898
1,g035_grass_man,10,0.4964663296356856,0.7482826659929347
1,g037_trees_be,10,0.2080047889198311,0.5476379030205666
1,g038_grass_nat,11,-0.23754850513289827,0.4203325643021731
1,g039_trees_be,9,-0.030791005925795423,0.061888088031555266
1,g042_grass_nat,11,0.5351929965978559,0.842025395035352
1,g043_grass_man,11,-0.6602073492099207,0.22337644058202608
1,g044_grass_man,11,0.22273399760938684,0.6014095238101084
1,g045_grass_nat,11,-0.8226999256741594,-0.031077597248051342
1,g046_grass_man,11,-0.0536287515885463,0.32016725570091015
1,g047_trees_bd,11,-1.0369632443141108,0.2558421440039056
1,g048_shrubs_bd,11,0.5248694062349244,0.8018880272751512
1,g049_trees_be,11,-0.03702751730909504,0.4291732099627377
1,g050_grass_nat,11,-0.3307457136180809,-0.1665185292094994
1,g051_shrubs_bd,11,-0.374123880991587,-0.2295030223494892
1,g055_shrubs_bd,11,-0.07549499166047169,0.6184895057328997
1,g056_trees_bd,11,0.19649270695966692,0.45411103609290815
1,g057_grass_man,11,0.6386280223368483,0.8048492215932432
1,g058_shrubs_be,10,0.5993949381310972,0.8697068897471534
1,g059_grass_man,10,-0.6211465539027194,-0.03086537606408529
1,g060_shrubs_be,10,-0.692148256130233,-0.3996277048154937
1,g061_grass_nat,10,0.2948016973187314,0.6309089091767252
1,g062_grass_nat,10,0.23825098992948213,0.5048607859399838
1,g063_shrubs_bd,10,-0.30947034943776597,0.38143973585269514
1,g064_shrubs_be,11,-0.613818593845475,-0.047719191565580486
1,g065_shrubs_bd,11,0.06925212266039549,0.541319910503872
1,g066_grass_nat,11,0.7498228420140352,0.8720652609024948
1,g067_grass_nat,11,-0.32491445650062345,0.14375028053513939
1,g068_grass_nat,11,-0.3497627121954363,0.19527554012676507
2,g030_grass_nat,10,0.17648815565103604,0.4624946055742855
2,g032_shrubs_bd,10,-0.015428473378696461,0.16175163555982675
2,g033_grass_nat,11,0.136715000258535,0.37646634649759897
2,g034_grass_man,11,-0.27584229179941677,0.2651952145497376
2,g035_grass_man,10,0.38789529413904833,0.6462011833431526
2,g037_trees_be,11,0.15333643656428309,0.5781559001432799
2,g038_grass_nat,11,0.1605759611935762,0.622579432833831
2,g039_trees_be,10,0.01629495210296872,0.38130575269638844
2,g040_trees_be,9,-0.15559285066642636,0.0437040291880863
2,g042_grass_nat,11,0.2544346843796841,0.5631566889465952
2,g043_grass_man,11,-0.05080992861899314,-0.007271930115639438
2,g044_grass_man,11,-0.08658812625828283,0.17672064065002144
2,g045_grass_nat,11,-1.326733142948275,-0.17918285520143223
2,g046_grass_man,10,0.14840170995116275,0.4233381400011566
2,g047_trees_bd,11,0.3348667316537659,0.594729915294151
2,g048_shrubs_bd,11,0.29136133036302503,0.5399179632833364
2,g049_trees_be,11,-0.12814195663690509,0.4320819315616251
2,g050_grass_nat,11,0.12611451756859748,0.41965024212369917
2,g051_shrubs_bd,11,-0.9952535921923094,-0.18479228832087907
2,g055_shrubs_bd,11,0.21320466899013635,0.712717848532548
2,g056_trees_bd,10,0.004112790914219233,0.2710611727078802
2,g057_grass_man,11,0.30723049410886505,0.6015849070678062
2,g058_shrubs_be,10,0.2655102339357508,0.7391388504595844
2,g059_grass_man,10,0.07015647174904849,0.6776132252796427
2,g060_shrubs_be,9,-0.15338713430388928,0.232693446685912
2,g061_grass_nat,11,0.009018532848858452,0.6635979758784843
2,g062_grass_nat,9,-0.042786800472285114,0.16315539464256518
2,g063_shrubs_bd,11,-0.10446059251490336,0.30648260737092753
2,g064_shrubs_be,11,-0.18156914266973656,-0.04069988455221142
2,g065_shrubs_bd,11,-0.4331415856243035,0.04346589976238344
2,g066_grass_nat,11,-0.05585678829900931,0.5059730705631941
2,g067_grass_nat,11,-0.16979299726592467,0.5319598490169947
2,g068_grass_nat,11,-0.11678519999783843,0.36463724548750676
3,g029_trees_bd,9,0.06787522601140883,0.7853263819091933
3,g030_grass_nat,10,0.24470972493015608,0.76183283794793
3,g032_shrubs_bd,11,-0.21018245505055977,-0.23157035620357763
3,g033_grass_nat,11,-0.5631352753473384,0.3266527009359178
3,g034_grass_man,11,-0.15002883413563506,0.2686879716588152
3,g035_grass_man,11,0.15865690904470775,0.4178874459884611
3,g036_trees_ne,8,-0.36722693414656193,-0.5693531418978768
3,g037_trees_be,10,0.1684520048906667,0.5879775652943867
3,g038_grass_nat,11,-0.7708004374404525,0.4883733078912247
3,g039_trees_be,11,-0.6268996835358276,-0.02107957454825449
3,g040_trees_be,11,-0.2111804992369204,0.06518676149108607
3,g042_grass_nat,11,0.46571389933794416,0.793706088211061
3,g043_grass_man,9,-0.626929331073907,-0.3105536543484952
3,g044_grass_man,11,0.004908384646140962,0.24220982154129983
3,g045_grass_nat,11,-0.22593821132841008,0.3300521835620592
3,g046_grass_man,9,0.22951491552699477,0.513182941912044
3,g047_trees_bd,11,-0.11841955419313455,0.041180975392984556
3,g048_shrubs_bd,11,0.22159738977272647,0.5845008433728637
3,g049_trees_be,11,0.18146461298714744,0.49093936601647753
3,g050_grass_nat,11,-0.3792698442315885,-0.13060192496544396
3,g051_shrubs_bd,11,-0.33936542032783046,-0.011485760397360349
3,g053_trees_be,8,-1.181841401303068,-0.281762403006411
3,g055_shrubs_bd,11,0.3225737849899658,0.5708640389429187
3,g056_trees_bd,11,-0.16098061579864154,-0.12636344578764347
3,g057_grass_man,11,0.21573360596928903,0.49758593426069375
3,g058_shrubs_be,11,0.2741150913505206,0.5680025238621701
3,g059_grass_man,8,-0.0424749277908516,0.018437660854913086
3,g060_shrubs_be,10,0.21066623727086276,0.4640058296147896
3,g061_grass_nat,11,0.3749524208919909,0.6293899656528313
3,g063_shrubs_bd,11,-1.5300479405639393,-0.2664374497786971
3,g064_shrubs_be,11,0.19247454598155211,0.4796902688137347
3,g065_shrubs_bd,11,0.1237928722946725,0.5485755931300015
3,g066_grass_nat,11,0.4529208025654442,0.6821587333322785
3,g067_grass_nat,11,0.34781501970232653,0.770165116918144
3,g068_grass_nat,11,-1.185823040230575,0.011586996279041027
3,g069_trees_nd,8,-0.07613373248066524,-0.3836037135501281
4,g029_trees_bd,8,-0.08429794652087996,0.237567162061682
4,g030_grass_nat,10,0.17554798622534906,0.4846460870278999
4,g032_shrubs_bd,10,0.45581803889845884,0.85586276423059
4,g033_grass_nat,11,-0.440519539295656,0.12621198682607376
4,g034_grass_man,11,0.2533856985983718,0.5658688561384485
4,g035_grass_man,10,-3.2869919875786113,-0.49632283620918877
4,g037_trees_be,11,-0.1578742353725202,-0.1672537004728028
4,g038_grass_nat,11,0.20528790839312994,0.5010255830058556
4,g039_trees_be,11,-4.218609167838566,0.2978682136563982
4,g040_trees_be,9,-0.13128443677581503,-0.16891870881814858
4,g042_grass_nat,11,-0.044328556548392184,0.5370581050589489
4,g043_grass_man,11,-0.338584452719066,-0.11467143304993371
4,g044_grass_man,11,0.1048149912750409,0.3689431528837776
4,g045_grass_nat,11,-0.016141435011605365,0.23325753551377032
4,g046_grass_man,11,-0.27075401260282317,-0.08477412825907152
4,g047_trees_bd,11,-0.36624969760381565,-0.3451548602888772
4,g048_shrubs_bd,11,-0.19180115269038178,0.06040776521946976
4,g049_trees_be,11,-0.2765400089482555,0.3140219090436682
4,g050_grass_nat,11,0.1287872546299451,0.6170758244589054
4,g051_shrubs_bd,11,-0.5985012728313874,-0.6166589372946091
4,g053_trees_be,8,-0.8307202793933397,-0.24364587521301898
4,g055_shrubs_bd,11,-0.33470007633985,0.1728241680199386
4,g056_trees_bd,10,0.316442118950677,0.6024419283278564
4,g057_grass_man,11,0.20867526739235165,0.5379721317914877
4,g058_shrubs_be,10,-0.3622236190414716,-0.29571034800847745
4,g060_shrubs_be,8,-0.09465141651298081,0.32061422322046984
4,g061_grass_nat,11,0.7279355440056245,0.9011641847493638
4,g062_grass_nat,10,-0.24179600383927236,-0.09873534893923454
4,g063_shrubs_bd,11,0.43953639682844303,0.7205539675445238
4,g064_shrubs_be,11,0.07106812695792841,0.33131272146451224
4,g065_shrubs_bd,11,0.36725914655857206,0.7660681090567741
4,g066_grass_nat,11,-0.05422472178629656,0.2971313604570275
4,g067_grass_nat,11,-0.1784147460936656,0.3171732866884268
4,g068_grass_nat,11,-0.08406245480978414,0.3194280456921768
5,g024_trees_ne,10,-0.25713933773742004,-0.05416593758712624
5,g025_grass_nat,9,-2.797239966163216,-0.2816985391958553
