site,inter_annual_mean_R2,median,inter_annual_variance
g033_grass_nat,0.8500240748894824,0.8734916973844379,0.0062103674636081
g032_shrubs_bd,0.7553265462955903,0.7355063828732757,0.0055682724783892
g025_grass_nat,0.7509952659148958,0.785319310806166,0.0165055824829775
g065_shrubs_bd,0.7508607279425257,0.7927738700128022,0.0150789479205866
g031_grass_nat,0.7401802302246163,0.7234564363031484,0.0162520214635397
g045_grass_nat,0.7228913535304723,0.729047949729342,0.0129902680635551
g022_grass_man,0.7147674697332973,0.8004098906436374,0.0454974352358933
g027_grass_nat,0.7001383606808504,0.7833617094787744,0.0259104914843952
g030_grass_nat,0.6985729708922156,0.7242436261975036,0.0089185090215091
g011_shrubs_ne,0.6815191447365415,0.6902414711340976,0.0250753798560017
