site,date,ground_truth,zero_shot,finetuned_lora
low_amplitude,2022-01-01,0.18067603,0.18046801,0.15039062
low_amplitude,2022-01-09,0.18067603,0.18789679,0.15332031
low_amplitude,2022-01-17,0.18540114,0.19538909,0.15332031
low_amplitude,2022-01-25,0.10762407,0.20785081,0.16894531
low_amplitude,2022-02-02,0.18540114,0.21434543,0.18457031
low_amplitude,2022-02-10,0.18540114,0.21395594,0.19921875
low_amplitude,2022-02-18,0.20381203,0.2231485,0.203125
low_amplitude,2022-02-26,0.28067604,0.2421751,0.20898438
low_amplitude,2022-03-06,0.20762406,0.2625284,0.21972656
low_amplitude,2022-03-14,0.28540114,0.27934766,0.22851562
low_amplitude,2022-03-22,0.30381203,0.29576144,0.25195312
low_amplitude,2022-03-30,0.30381203,0.30745292,0.265625
low_amplitude,2022-04-07,0.30762407,0.3219924,0.28320312
low_amplitude,2022-04-15,0.21234918,0.33030057,0.3046875
low_amplitude,2022-04-23,0.38448805,0.34706947,0.32617188
low_amplitude,2022-05-01,0.38448805,0.35396686,0.33398438
low_amplitude,2022-05-09,0.38448805,0.3464405,0.27539062
low_amplitude,2022-05-17,0.38448805,0.35357803,0.28710938
low_amplitude,2022-05-25,0.38067603,0.3633026,0.30078125
low_amplitude,2022-06-02,0.37976295,0.35091332,0.30078125
low_amplitude,2022-06-10,0.37976295,0.36788768,0.3203125
low_amplitude,2022-06-18,0.2114361,0.37499022,0.359375
low_amplitude,2022-06-26,0.2114361,0.3800798,0.390625
low_amplitude,2022-07-04,0.2114361,0.35726476,0.3828125
low_amplitude,2022-07-12,0.36135206,0.36306706,0.37304688
low_amplitude,2022-07-20,0.383575,0.3600758,0.34960938
low_amplitude,2022-07-28,0.383575,0.34545323,0.34570312
low_amplitude,2022-08-05,0.38448805,0.3639962,0.34765625
low_amplitude,2022-08-13,0.36607715,0.3663314,0.3515625
low_amplitude,2022-08-21,0.30381203,0.35094193,0.33398438
low_amplitude,2022-08-29,0.2883001,0.34443384,0.31640625
low_amplitude,2022-09-06,0.38448805,0.34448633,0.31835938
low_amplitude,2022-09-14,0.38448805,0.3309142,0.29882812
low_amplitude,2022-09-22,0.30762407,0.3135353,0.27734375
low_amplitude,2022-09-30,0.38448805,0.30611718,0.26171875
low_amplitude,2022-10-08,0.28448805,0.2902746,0.24023438
low_amplitude,2022-10-24,0.18250218,0.28312543,0.22558594
low_amplitude,2022-11-01,0.28067604,0.27131236,0.21972656
low_amplitude,2022-11-09,0.28158912,0.26238072,0.2265625
low_amplitude,2022-11-17,0.2,0.24637632,0.23242188
low_amplitude,2022-11-25,0.20381203,0.23021072,0.23046875
low_amplitude,2022-12-03,0.20381203,0.21343379,0.20410156
low_amplitude,2022-12-11,0.20381203,0.20414792,0.19238281
low_amplitude,2022-12-19,0.12222292,0.19790381,0.18261719
low_amplitude,2022-12-27,0.18067603,0.19357155,0.17285156
high_amplitude_deciduous,2022-01-01,0.5,0.5637827,0.46289062
high_amplitude_deciduous,2022-01-09,0.5047396,0.5402875,0.42773438
high_amplitude_deciduous,2022-01-17,0.6,0.5597534,0.5078125
high_amplitude_deciduous,2022-01-25,0.6,0.5582144,0.47265625
high_amplitude_deciduous,2022-02-02,0.6047396,0.56968236,0.5390625
high_amplitude_deciduous,2022-02-10,0.6047396,0.5988991,0.57421875
high_amplitude_deciduous,2022-02-18,0.6242605,0.6280625,0.62890625
high_amplitude_deciduous,2022-02-26,0.7047396,0.6680013,0.69140625
high_amplitude_deciduous,2022-03-06,0.7242605,0.6851311,0.84765625
high_amplitude_deciduous,2022-03-14,0.8047396,0.7720567,0.7890625
high_amplitude_deciduous,2022-03-22,0.9,0.85957646,0.87109375
high_amplitude_deciduous,2022-03-30,0.9047396,1.0018796,1.0
high_amplitude_deciduous,2022-04-07,1.1751579,1.2553141,1.21875
high_amplitude_deciduous,2022-04-15,1.7508782,1.87348,1.6953125
high_amplitude_deciduous,2022-04-23,2.155637,2.5510166,2.453125
high_amplitude_deciduous,2022-05-01,4.043718,3.399618,3.375
high_amplitude_deciduous,2022-05-09,4.8574066,4.3875875,4.59375
high_amplitude_deciduous,2022-05-17,4.8384542,4.7960706,4.84375
high_amplitude_deciduous,2022-05-25,5.216557,5.062265,5.0625
high_amplitude_deciduous,2022-06-02,4.999981,5.1939073,5.21875
high_amplitude_deciduous,2022-06-10,5.180479,5.244171,5.375
high_amplitude_deciduous,2022-06-18,5.1952605,5.2213254,5.34375
high_amplitude_deciduous,2022-06-26,5.3763404,5.127969,5.0625
high_amplitude_deciduous,2022-07-04,5.2839804,5.039954,4.90625
high_amplitude_deciduous,2022-07-12,5.139604,4.8943033,4.8125
high_amplitude_deciduous,2022-07-20,5.2010427,4.6917763,4.53125
