experiment,dominant_pft,n,mean_delta_fractional,mean_delta_dominant
expA_temporal,GRASS_MAN,12,0.0003091485456571212,0.0004323635874291752
expA_temporal,GRASS_NAT,19,-1.821584322673384e-06,0.0018137207299748594
expA_temporal,SHRUBS_BD,7,-0.003343146377308969,-0.003238084121898208
expA_temporal,SHRUBS_ND,6,-0.0004504516397614844,-0.0009297024444517114
expA_temporal,SHRUBS_NE,7,-0.0006242291736866523,-0.0005693240037985627
expA_temporal,TREES_BD,7,0.0009647127987680701,0.0009950407297039427
expA_temporal,TREES_ND,6,0.00026997786834041343,0.00032482055384116154
expA_temporal,TREES_NE,6,0.0008105486835344548,0.0006471947934815018
expB_spatial,GRASS_MAN,3,0.0005142823724298232,0.00018569133889634326
expB_spatial,GRASS_NAT,6,-0.0020125621715082476,-0.0007697774437513497
expB_spatial,SHRUBS_BD,1,-0.013936099895312193,-0.012109731905326049
expB_spatial,SHRUBS_ND,1,-0.003200982048415568,-0.0026220151872811126
expB_spatial,TREES_BD,1,0.001667061714162421,0.0015263581533727644
expB_spatial,TREES_ND,2,0.0001866544723287955,0.00028145958658076786
expB_spatial,TREES_NE,1,-0.0005160351364837945,-0.0005478171379530439
