step,train_loss,val_loss,lr
0,0.3688204437494278,0.3605991303920746,0.001
10,0.3582913726568222,0.3664524257183075,0.001
20,0.35378773510456085,0.3674331605434418,0.001
30,0.3560776710510254,0.36839598417282104,0.001
40,0.34554851055145264,0.3682873249053955,0.001
50,0.34863893687725067,0.37080276012420654,0.001
60,0.34107640385627747,0.37113311886787415,0.001
70,0.33996377885341644,0.37111997604370117,0.001
80,0.34109683334827423,0.3724425137042999,0.001
90,0.34003397822380066,0.37559375166893005,0.001
100,0.326885461807251,0.37556901574134827,0.001
110,0.3300718516111374,0.37721943855285645,0.001
120,0.32190150022506714,0.3795120120048523,0.001
130,0.32453858852386475,0.38194891810417175,0.001
140,0.32479096949100494,0.3834136724472046,0.001
149,0.3193511664867401,0.3859115540981293,0.001
0,0.37200500071048737,0.3670980930328369,0.003
10,0.3557274341583252,0.3672863841056824,0.003
20,0.3515387177467346,0.37404149770736694,0.003
30,0.33708056807518005,0.37253090739250183,0.003
40,0.3301457613706589,0.37197521328926086,0.003
50,0.32673415541648865,0.38112735748291016,0.003
60,0.3222644329071045,0.3843262493610382,0.003
70,0.31617864966392517,0.3909183144569397,0.003
80,0.3131086379289627,0.3927076756954193,0.003
90,0.31081603467464447,0.3937516510486603,0.003
100,0.30487529933452606,0.39653536677360535,0.003
110,0.2964797765016556,0.39994844794273376,0.003
120,0.2973606139421463,0.4054162800312042,0.003
130,0.2965904772281647,0.39826956391334534,0.003
140,0.2949397414922714,0.39719825983047485,0.003
149,0.28758206963539124,0.40116509795188904,0.003
0,0.37077173590660095,0.4242106080055237,0.01
10,0.35245078802108765,0.37217462062835693,0.01
20,0.3415859192609787,0.37454280257225037,0.01
30,0.3309254050254822,0.37999269366264343,0.01
40,0.3229850232601166,0.38868898153305054,0.01
50,0.3123117983341217,0.3930744528770447,0.01
60,0.3006414622068405,0.398694783449173,0.01
70,0.29530684649944305,0.40503475069999695,0.01
80,0.28049303591251373,0.40739160776138306,0.01
90,0.2766391336917877,0.4086165130138397,0.01
100,0.27308180928230286,0.4137881100177765,0.01
110,0.26987946033477783,0.41357746720314026,0.01
120,0.26223301887512207,0.4197585880756378,0.01
130,0.2594732940196991,0.42164528369903564,0.01
140,0.2592984139919281,0.4215281903743744,0.01
149,0.25670501589775085,0.4283128082752228,0.01
