step,train_loss,val_loss,val_r2,lr,arch,n_params
0,0.4266637712717056,0.346852570772171,0.8318115075429281,0.001,low_rank,12600
20,0.4218972474336624,0.3465546170870463,0.8321281472841898,0.001,low_rank,12600
40,0.41536179184913635,0.3467116951942444,0.8318856755892435,0.001,low_rank,12600
60,0.41447992622852325,0.3468567132949829,0.8318077921867371,0.001,low_rank,12600
80,0.37944789230823517,0.3471114734808604,0.8312575419743856,0.001,low_rank,12600
100,0.3891941159963608,0.3470511237780253,0.8316088120142618,0.001,low_rank,12600
120,0.3862752169370651,0.3473140398661296,0.8316620588302612,0.001,low_rank,12600
140,0.40107178688049316,0.34714046120643616,0.8313513199488322,0.001,low_rank,12600
160,0.41548246145248413,0.3468645215034485,0.8319290081659952,0.001,low_rank,12600
180,0.39502066373825073,0.3471374809741974,0.8315501809120178,0.001,low_rank,12600
199,0.3976602554321289,0.34766432642936707,0.8311338027318319,0.001,low_rank,12600
0,0.4266637712717056,0.3467287520567576,0.8320162892341614,0.003,low_rank,12600
20,0.4223504811525345,0.3470007876555125,0.8309543331464132,0.003,low_rank,12600
40,0.4139346778392792,0.3467671573162079,0.8318553368250529,0.003,low_rank,12600
60,0.41402146220207214,0.3476502001285553,0.8313367168108622,0.003,low_rank,12600
80,0.3788035959005356,0.3468213478724162,0.8314981063206991,0.003,low_rank,12600
100,0.3878897875547409,0.3482726017634074,0.8311682343482971,0.003,low_rank,12600
120,0.3852360397577286,0.34765535593032837,0.8303775191307068,0.003,low_rank,12600
140,0.39878442883491516,0.34771011273066205,0.8313053250312805,0.003,low_rank,12600
160,0.4164494425058365,0.3468642632166545,0.8320740063985189,0.003,low_rank,12600
180,0.39489586651325226,0.348249892393748,0.8308507005373637,0.003,low_rank,12600
199,0.3994082361459732,0.3475915491580963,0.8311607638994852,0.003,low_rank,12600
