step,train_loss,val_loss,val_r2,lr,arch,n_params
0,0.42380639910697937,0.3466448287169139,0.8322953780492147,0.001,deep_mlp,100544
20,0.4279790222644806,0.34933937589327496,0.8296462098757426,0.001,deep_mlp,100544
40,0.4090946763753891,0.3487616280714671,0.8311766187349955,0.001,deep_mlp,100544
60,0.4112454205751419,0.35083208481470746,0.830008347829183,0.001,deep_mlp,100544
80,0.37064029276371,0.3500755826632182,0.8298555811246237,0.001,deep_mlp,100544
100,0.38310185074806213,0.3526267409324646,0.8292102615038554,0.001,deep_mlp,100544
120,0.3814231902360916,0.35277684529622394,0.8280823032061259,0.001,deep_mlp,100544
140,0.3959875702857971,0.3523664077123006,0.8294122815132141,0.001,deep_mlp,100544
160,0.3985135853290558,0.35068845748901367,0.8299440741539001,0.001,deep_mlp,100544
180,0.3923404663801193,0.3533246914545695,0.8283402919769287,0.001,deep_mlp,100544
199,0.3978404700756073,0.35326070586840314,0.827524999777476,0.001,deep_mlp,100544
0,0.42380639910697937,0.3472114106019338,0.8329236110051473,0.003,deep_mlp,100544
20,0.4211788773536682,0.3495146334171295,0.83033819993337,0.003,deep_mlp,100544
40,0.40306685864925385,0.35264357924461365,0.82903124888738,0.003,deep_mlp,100544
60,0.4070349633693695,0.3552219371000926,0.8280521233876547,0.003,deep_mlp,100544
80,0.3695530891418457,0.352577139933904,0.8273061911265055,0.003,deep_mlp,100544
100,0.3836161345243454,0.35723385214805603,0.8269121249516805,0.003,deep_mlp,100544
120,0.3787679374217987,0.35791022578875226,0.8252957463264465,0.003,deep_mlp,100544
140,0.3941531628370285,0.35475823283195496,0.8258026639620463,0.003,deep_mlp,100544
160,0.3956318646669388,0.35418006777763367,0.82829350233078,0.003,deep_mlp,100544
180,0.39268630743026733,0.3582182427247365,0.8244858980178833,0.003,deep_mlp,100544
199,0.39106127619743347,0.3554261525472005,0.8258309364318848,0.003,deep_mlp,100544
