step,train_loss,val_loss,val_r2,lr,arch,n_params
0,0.42380639910697937,0.3469523787498474,0.831747313340505,0.001,linear_mixture,15360
20,0.42805565893650055,0.34723494450251263,0.8320956826210022,0.001,linear_mixture,15360
40,0.41672004759311676,0.3473857839902242,0.8319596846898397,0.001,linear_mixture,15360
60,0.4165773391723633,0.3476610779762268,0.8316896160443624,0.001,linear_mixture,15360
80,0.3777069002389908,0.34816355506579083,0.8312784234682719,0.001,linear_mixture,15360
100,0.384273961186409,0.3485844333966573,0.8311579426129659,0.001,linear_mixture,15360
120,0.38588112592697144,0.34875256816546124,0.8312867283821106,0.001,linear_mixture,15360
140,0.4004437327384949,0.34950416286786395,0.8309986392656962,0.001,linear_mixture,15360
160,0.4060220867395401,0.3485693037509918,0.8310683767000834,0.001,linear_mixture,15360
180,0.3943292051553726,0.34856446584065753,0.8310692310333252,0.001,linear_mixture,15360
199,0.39683590829372406,0.3489579161008199,0.8306672771771749,0.001,linear_mixture,15360
0,0.42380639910697937,0.347033828496933,0.8318259716033936,0.003,linear_mixture,15360
20,0.4255918562412262,0.34851409991582233,0.8312200903892517,0.003,linear_mixture,15360
40,0.411827027797699,0.34892867008845013,0.830840011437734,0.003,linear_mixture,15360
60,0.41274024546146393,0.3495734731356303,0.8306076327959696,0.003,linear_mixture,15360
80,0.3743225336074829,0.3494459390640259,0.8301874001820883,0.003,linear_mixture,15360
100,0.38345006108283997,0.350291113058726,0.8302804032961527,0.003,linear_mixture,15360
120,0.38483352959156036,0.35020503401756287,0.8304345806439718,0.003,linear_mixture,15360
140,0.3994991332292557,0.3506316542625427,0.8300387461980184,0.003,linear_mixture,15360
160,0.4062822610139847,0.34882328907648724,0.8303338487943014,0.003,linear_mixture,15360
180,0.3930261582136154,0.3495725194613139,0.8302352825800577,0.003,linear_mixture,15360
199,0.39577677845954895,0.34965532024701435,0.8296635150909424,0.003,linear_mixture,15360
