step,train_loss,val_loss,val_r2,lr,arch,n_params
0,0.4266637712717056,0.346823384364446,0.8318198919296265,0.001,low_rank,12600
20,0.42207740247249603,0.3464654286702474,0.8321330547332764,0.001,low_rank,12600
40,0.4154634177684784,0.3466513156890869,0.8318739930788676,0.001,low_rank,12600
60,0.4145572781562805,0.3468790650367737,0.831759532292684,0.001,low_rank,12600
80,0.37947703897953033,0.3470856547355652,0.8311919172604879,0.001,low_rank,12600
100,0.3891584873199463,0.347048819065094,0.8315551280975342,0.001,low_rank,12600
120,0.3862937092781067,0.3473150034745534,0.8315996527671814,0.001,low_rank,12600
140,0.40099409222602844,0.34715428948402405,0.8312891523043314,0.001,low_rank,12600
160,0.41555772721767426,0.34686357776323956,0.8318674166997274,0.001,low_rank,12600
180,0.39497727155685425,0.3471479117870331,0.8314835826555887,0.001,low_rank,12600
199,0.3976360559463501,0.3476865291595459,0.8310535351435343,0.001,low_rank,12600
0,0.4266637712717056,0.3466437856356303,0.8320388197898865,0.003,low_rank,12600
20,0.42250366508960724,0.34687260786692303,0.8309532006581625,0.003,low_rank,12600
40,0.41394950449466705,0.3467871944109599,0.8317897717157999,0.003,low_rank,12600
60,0.41404037177562714,0.3477103114128113,0.8312843243281046,0.003,low_rank,12600
80,0.37882179021835327,0.3468031982580821,0.8314926822980245,0.003,low_rank,12600
100,0.38783931732177734,0.3483210702737172,0.8311271667480469,0.003,low_rank,12600
120,0.38530154526233673,0.3477171262105306,0.8303091923395792,0.003,low_rank,12600
140,0.3987649232149124,0.3476910889148712,0.8312875032424927,0.003,low_rank,12600
160,0.41648563742637634,0.3468577265739441,0.8320674498875936,0.003,low_rank,12600
180,0.3949315696954727,0.34823821981747943,0.8308319648106893,0.003,low_rank,12600
199,0.39941152930259705,0.34756694237391156,0.831148366133372,0.003,low_rank,12600
