site,RMSE,MAE,MAPE,R2,Pearson_r,dominant_pft,pft_purity,region
px043_grass_nat,0.21025,0.14517,40.794982,0.97252,0.98863,GRASS_NAT,0.7900000214576721,Great Plains
high_amplitude_deciduous,0.3721987428443206,0.2459115187327067,14.14267502821269,0.9653603564623752,0.983538003569336,TREES_BD,0.8899999856948853,Southeast
px037_trees_nd,0.261993,0.195707,34.639759,0.953048,0.980844,TREES_ND,0.7699999809265137,Great Plains
px026_trees_nd,0.107905,0.090015,11.885293,0.947949,0.981857,TREES_ND,0.75,Pacific Northwest
px039_trees_ne,0.254378,0.182139,14.198463,0.944681,0.972946,TREES_NE,0.7525773048400879,Northeast
px006_trees_nd,0.285693,0.217736,22.858841,0.943174,0.976124,TREES_ND,1.0,Great Plains
px044_grass_nat,0.27384,0.209452,12.553087,0.940383,0.969849,GRASS_NAT,0.800000011920929,Northeast
px065_trees_ne,0.155534,0.127104,13.775969,0.937157,0.97222,TREES_NE,0.8600000143051147,Pacific Northwest
px041_grass_nat,0.058022,0.044382,53.731771,0.927611,0.980769,GRASS_NAT,0.785714328289032,Northern Rockies / Great Basin
px067_grass_man,0.329657,0.188518,32.672394,0.920002,0.96913,GRASS_MAN,0.8799999952316284,Great Plains
px063_trees_bd,0.314824,0.219191,67.257799,0.915424,0.960999,TREES_BD,0.8500000238418579,Great Plains
px053_shrubs_ne,0.079025,0.070968,16.347149,0.914063,0.96092,SHRUBS_NE,0.8500000238418579,California
px007_shrubs_ne,0.036274,0.028448,6.02058,0.908283,0.958449,SHRUBS_NE,1.0,Great Plains
px005_trees_bd,0.292339,0.219776,52.370991,0.905341,0.951846,TREES_BD,1.0,Great Plains
px010_grass_nat,0.379572,0.304381,34.58418,0.897569,0.949617,GRASS_NAT,1.0,Great Plains
px032_grass_man,0.364821,0.245488,64.410733,0.879213,0.946653,GRASS_MAN,0.7599999904632568,Great Plains
px054_shrubs_ne,0.071359,0.055773,10.812239,0.850845,0.923828,SHRUBS_NE,0.8500000238418579,California
px027_grass_man,0.151337,0.11024,13.812511,0.836118,0.943975,GRASS_MAN,0.75,Southeast
evergreen,0.4849752207266585,0.4259298351075914,14.023496741340352,0.8322176076224337,0.9301318449824632,TREES_NE,0.949999988079071,Southeast
px004_trees_ne,0.321683,0.221611,30.423967,0.826853,0.918395,TREES_NE,1.0,Pacific Northwest
px046_grass_nat,0.072706,0.060938,12.00688,0.822382,0.955706,GRASS_NAT,0.8202247619628906,Other
px055_shrubs_bd,0.055611,0.045512,9.10311,0.805516,0.954238,SHRUBS_BD,0.8100000023841858,Great Plains
px057_shrubs_nd,0.069805,0.058494,21.140008,0.777069,0.883247,SHRUBS_ND,0.8400000333786011,California
px034_grass_man,0.422714,0.31691,17.174495,0.63037,0.84575,GRASS_MAN,0.7599999904632568,Pacific Northwest
px064_shrubs_bd,0.132665,0.094658,11.620204,0.602757,0.865348,SHRUBS_BD,0.8600000143051147,Other
px068_trees_nd,0.34863,0.267203,38.591419,0.564516,0.829618,TREES_ND,0.8700000047683716,Pacific Northwest
low_amplitude,0.0579882552431547,0.0396103426814079,17.9428315787576,0.5416799543767805,0.7595571295427851,GRASS_NAT,0.8399999737739563,California
px011_grass_man,0.296534,0.189504,18.50107,0.534999,0.778332,GRASS_MAN,1.0,Pacific Northwest
px035_shrubs_nd,0.169996,0.139514,22.604649,0.534271,0.796381,SHRUBS_ND,0.7599999904632568,Other
px009_shrubs_nd,0.215271,0.178043,27.072929,0.3665,0.867139,SHRUBS_ND,1.0,Other
px008_shrubs_bd,0.117089,0.094202,15.421249,0.179853,0.722745,SHRUBS_BD,0.9700000286102296,Great Plains
px047_grass_nat,0.105924,0.08665,56.219142,-0.347578,0.141625,GRASS_NAT,0.8199999928474426,Southwest
