site,RMSE,MAE,MAPE,R2,Pearson_r,dominant_pft,pft_purity,pft_entropy,region
px033_trees_ne,0.15966,0.112042,14.23986,0.987093,0.993858,TREES_NE,0.7300000190734863,0.583258867263794,Northeast
px060_grass_nat,0.231601,0.155498,21.472508,0.97776,0.989622,GRASS_NAT,0.4799999892711639,1.0047465562820437,Midwest
px043_grass_nat,0.21025,0.14517,40.794982,0.97252,0.98863,GRASS_NAT,0.7900000214576721,0.5139566659927368,Great Plains
high_amplitude_deciduous,0.3721987428443206,0.2459115187327067,14.14267502821269,0.9653603564623752,0.983538003569336,TREES_BD,0.8899999856948853,0.3465153276920318,Southeast
px031_trees_bd,0.321405,0.24945,91.742882,0.965064,0.983877,TREES_BD,0.7200000286102295,0.5929533243179321,Midwest
px022_grass_nat,0.148272,0.113048,33.144789,0.96488,0.9838,GRASS_NAT,0.6172839403152466,0.9304575324058532,Midwest
px036_grass_man,0.303358,0.230858,84.061235,0.963278,0.988771,GRASS_MAN,0.4900000095367431,1.0463541746139526,Midwest
px042_grass_nat,0.350201,0.248807,42.159763,0.957151,0.982111,GRASS_NAT,0.6499999761581421,0.6474466323852539,Midwest
px040_trees_bd,0.143623,0.106568,18.290686,0.953795,0.9823,TREES_BD,0.6969696879386902,0.6134100556373596,Midwest
px037_trees_nd,0.261993,0.195707,34.639759,0.953048,0.980844,TREES_ND,0.7699999809265137,0.5392763614654541,Great Plains
px012_trees_nd,0.154173,0.1249,40.398167,0.95252,0.976323,TREES_ND,0.5,0.6931471824645996,Pacific Northwest
px052_shrubs_bd,0.328044,0.193503,15.556806,0.951408,0.977001,SHRUBS_BD,0.5099999904632568,0.9947689771652222,Midwest
px014_grass_man,0.2392,0.158012,68.933319,0.950118,0.976804,GRASS_MAN,0.5199999809265137,0.6923469305038452,Great Plains
px029_grass_man,0.241408,0.175506,22.763408,0.950026,0.975455,GRASS_MAN,0.4900000095367431,1.0463541746139526,Midwest
px026_trees_nd,0.107905,0.090015,11.885293,0.947949,0.981857,TREES_ND,0.75,0.5623351335525513,Pacific Northwest
px039_trees_ne,0.254378,0.182139,14.198463,0.944681,0.972946,TREES_NE,0.7525773048400879,0.559485912322998,Northeast
px006_trees_nd,0.285693,0.217736,22.858841,0.943174,0.976124,TREES_ND,1.0,2.486791883526962e-10,Great Plains
px058_grass_nat,0.328341,0.236251,17.116355,0.940609,0.972295,GRASS_NAT,0.644444465637207,0.6508179903030396,Southeast
px044_grass_nat,0.27384,0.209452,12.553087,0.940383,0.969849,GRASS_NAT,0.800000011920929,0.5004023909568787,Northeast
px066_grass_man,0.189504,0.139365,52.745504,0.940371,0.979193,GRASS_MAN,0.6399999856948853,0.653418242931366,Northern Rockies / Great Basin
px065_trees_ne,0.155534,0.127104,13.775969,0.937157,0.97222,TREES_NE,0.8600000143051147,0.4049634933471679,Pacific Northwest
mixed_forest_grass,0.3258699738485807,0.1736695693598853,23.00694535491063,0.9332121515335493,0.9705503978464686,TREES_BD,0.5,0.6931471824645996,Midwest
px048_grass_nat,0.103771,0.078126,43.678688,0.929828,0.980355,GRASS_NAT,0.6299999952316284,0.6589556932449341,Pacific Northwest
px069_trees_bd,0.22835,0.153081,877.163878,0.927834,0.967147,TREES_BD,0.6000000238418579,0.6730116605758667,Great Plains
px041_grass_nat,0.058022,0.044382,53.731771,0.927611,0.980769,GRASS_NAT,0.785714328289032,0.5195798277854919,Northern Rockies / Great Basin
px013_grass_man,0.227636,0.14909,42.790977,0.926571,0.966038,GRASS_MAN,0.5099999904632568,0.6929471492767334,Great Plains
px067_grass_man,0.329657,0.188518,32.672394,0.920002,0.96913,GRASS_MAN,0.8799999952316284,0.3669250011444092,Great Plains
px063_trees_bd,0.314824,0.219191,67.257799,0.915424,0.960999,TREES_BD,0.8500000238418579,0.4227090775966644,Great Plains
px053_shrubs_ne,0.079025,0.070968,16.347149,0.914063,0.96092,SHRUBS_NE,0.8500000238418579,0.4227090775966644,California
px061_grass_nat,0.088937,0.066879,26.163708,0.910355,0.981049,GRASS_NAT,0.4600000083446502,0.9989753365516664,Pacific Northwest
px038_grass_nat,0.232916,0.18502,22.067089,0.910243,0.9561,GRASS_NAT,0.6419753432273865,0.6522731781005859,Northeast
px018_trees_nd,0.324412,0.206226,25.02209,0.910051,0.956062,TREES_ND,0.5400000214576721,0.6899437308311462,Midwest
px007_shrubs_ne,0.036274,0.028448,6.02058,0.908283,0.958449,SHRUBS_NE,1.0,2.486791883526962e-10,Great Plains
px021_grass_nat,0.097495,0.070034,19.606012,0.907705,0.953819,GRASS_NAT,0.5600000023841858,0.6859297752380371,Northern Rockies / Great Basin
px005_trees_bd,0.292339,0.219776,52.370991,0.905341,0.951846,TREES_BD,1.0,2.486791883526962e-10,Great Plains
px020_trees_ne,0.226327,0.169803,24.90204,0.90362,0.971417,TREES_NE,0.5555555820465088,0.6869615316390991,Northern Rockies / Great Basin
px010_grass_nat,0.379572,0.304381,34.58418,0.897569,0.949617,GRASS_NAT,1.0,2.486791883526962e-10,Great Plains
px056_shrubs_nd,0.1048,0.079397,9.459459,0.894013,0.962247,SHRUBS_ND,0.6100000143051147,0.9285967350006104,Other
px050_shrubs_ne,0.051979,0.04114,8.538777,0.889738,0.956187,SHRUBS_NE,0.6800000071525574,0.6268694400787354,Southwest
px032_grass_man,0.364821,0.245488,64.410733,0.879213,0.946653,GRASS_MAN,0.7599999904632568,0.5510799288749695,Great Plains
